Product,Category,Summary,Text
NewDevices,RAT,[Modbus][Huawei_SmartLogger] Association by API,"Precondition:
1.GW 已經完成關聯User
Test Steps:
1. 使用 API 關聯 Modbus 裝置
POST /api/v1/associations/devices 
Expected results:
1. 查看 DB，確認有成功關聯
2. eg3 -> devices  TABLE 內的 UUID 有值 、且關聯日期有被填上
 Note: 
API body格式 請使用對應 modbus 種類 (TCP,RTU)"
NewDevices,RAT,[Modbus][Huawei_SmartLogger] Dissociation by API,"Precondition:
1.GW 已經關聯 {model} 裝置
Test Steps:
1. 使用 API 解除關聯 Modbus 裝置
DELETE /api/v1/associations/devices/:deviceUuid
Expected results:
1. 查看 DB，確認有成功解除關聯
2. eg3 -> devices  TABLE 內的 UUID 的值被移除、且關聯日期有被移除
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActiveAdj1，有在 device_profile 內,"Pre-condition 
 1. GW 已經關聯 {model} 裝置
Steps:
1. 開啟 device_profile.json 檔案
 Expected Results:
1. 預期 device_profile.json 檔案內會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActiveAdj1，有在 device_data_scope 內,"Pre-condition 
1. GW 已經關聯 {model} 裝置
Test Steps:
1. 開啟 eg3 -> device_data_scope TABLE
2. 檢查點位資訊，是否有在 DB 內
Expected Results:
1. 確認 DB eg3 -> device_data_scope  內，有這個 Modbus 點位的資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActiveAdj1，有在 config.json 內,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger 裝置
Steps:
1. 透過 adb 連入 ATTO
2. 開啟 /data/cfg_mgmt/config.json 檔案
Expected Results:
1. 預期 config.json 檔案內會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActiveAdj1，有在 rules.json 內,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger 裝置
Steps:
1. 透過 adb 連入 ATTO
2. 開啟 /data/rules.json 檔案
Expected Results:
1. 預期 rules.json 檔案內會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActiveAdj1，有在 Local DB 的 data_types TABLE 內,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger裝置
Steps:
1. 透過 adb 連入 ATTO
2. 下 SQL 指令查詢 Local DB 的 data_types TABLE
# sqlite3 -csv /data/rdg/v1/rdg.db 'SELECT * FROM data_types where data_uuid='<DATA UUID>';'
<DATA UUID> 要換成點位的 Data UUID
Expected Results:
1. 預期 DB 查詢結果，會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActiveAdj1，有在 Local DB 的 data TABLE 內,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger裝置
Steps:
1. 透過 adb 連入 ATTO
2. 下 SQL 指令查詢 Local DB 的 data TABLE
# sqlite3 -csv /data/rdg/v1/rdg.db 'SELECT * FROM data where data_id=<DATA ID> limit 10 ;'
<DATA ID> 要換成點位的 Data ID (Local DB data_types 的 index
Expected Results:
1. 預期 DB 查詢結果，會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActiveAdj1，有上傳到 Cassandra/dps/datapoints,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger 裝置
Test Steps:
1. 開啟 Cassandra DB，Cassandra/dps/datapoins
2. 檢查點位資訊
Expected Results:
1. 確認 Cassandra DB 查詢結果，會有這個點位資料
"
NewDevices,FAST,[Modbus][Huawei_SmartLogger][檢查點位] 確認 getActiveAdj1，有上傳到 IoEP device_data,"Pre-condition 
1. GW 已經關聯 Huawei_SmartLogger 裝置
Test Steps:
1. 檢查點位資訊，是否有確實上傳到 IoEP
Expected Results:
1. 確認 DB eg3 -> device_data 內，有這個 Modbus 點位的資料 (data_uuid 欄位，要符合此點位的 UUID)
2. 確認 DB eg3 -> device_data 內，上傳點位資料的 interval 為 1分鐘一筆(根據 IoE Suite 設定)
"
